,name,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,emb16,emb17,emb18,emb19,emb20,emb21,emb22,emb23,emb24,emb25,emb26,emb27,emb28,emb29,emb30,emb31,emb32,emb33,emb34,emb35,emb36,emb37,emb38,emb39,emb40,emb41,emb42,emb43,emb44,emb45,emb46,emb47,emb48,emb49,emb50,emb51,emb52,emb53,emb54,emb55,emb56,emb57,emb58,emb59,emb60,emb61,emb62,emb63,emb64,emb65,emb66,emb67,emb68,emb69,class
0,abhay_002.png,10.667128,-38.551422,-1.4268693,11.918674,14.787497,-43.14189,-9.363739,18.198158,-27.926512,-21.474327,-4.4842052,-37.99626,19.940096,-6.6731567,-42.370483,-3.465097,31.791956,-20.35678,-22.416893,8.360764,-92.48597,-4.465118,26.118347,32.841312,27.277676,15.171373,82.232735,-9.555652,10.303291,-81.13815,10.576357,11.525002,-70.297,-7.930215,57.9103,12.484534,4.8607826,23.532137,-10.253235,7.034868,-31.313414,-79.32785,15.320091,-23.961142,-74.96104,-24.520735,99.52701,10.674231,0.11704755,59.01828,-5.5891933,7.034868,-31.313414,-79.32785,15.320091,-23.961142,-74.96104,-48.784447,3.880247,17.973078,-34.607048,-29.092169,-62.89715,-7.3700256,1.6912956,13.598854,-2.8642523,-40.039143,-13.505726,tree
1,abhay_003.png,7.388958,-39.311615,-13.620205,12.29348,15.285776,-36.10405,-8.461582,18.292738,-32.567097,-21.463581,-1.1535912,-48.901043,19.620604,-5.165106,-51.387188,-4.756034,30.15169,-8.707866,-23.041721,5.9908886,-79.85447,-3.2611952,27.363354,43.946182,26.057878,15.223295,82.646935,-9.170102,14.132185,-85.0051,11.159021,13.127632,-83.954285,-8.017229,57.51504,35.238316,3.0161567,21.214184,2.7924623,4.8397117,-28.948448,-93.39567,11.927122,-22.414968,-102.80412,-22.027042,100.59567,43.62889,2.248055,56.756783,21.6423,4.8397117,-28.948448,-93.39567,11.927122,-22.414968,-102.80412,-49.76362,5.3190536,3.9399948,-34.052532,-29.386742,-60.284298,-8.679434,1.307539,1.4538498,-4.7334585,-41.526802,-21.583548,tree
2,abhay_004.png,9.363317,-38.888668,-11.629404,11.377571,16.26455,-38.559914,-9.405632,18.966064,-31.820337,-22.123257,-2.2389126,-45.105602,18.606102,-4.7141438,-51.667683,-4.0577354,30.417028,-26.234474,-21.233603,8.0026455,-95.99062,-4.5711546,27.034378,41.63967,26.153893,15.176786,92.415276,-10.745687,14.025637,-83.66552,9.20047,14.251921,-83.48802,-8.62889,57.45141,15.405196,4.92029,23.179432,-3.5753481,4.7784834,-27.759552,-91.31498,12.402933,-21.740221,-99.09737,-24.15306,99.236595,23.05466,1.7178266,59.171574,12.033996,4.7784834,-27.759552,-91.31498,12.402933,-21.740221,-99.09737,-48.662186,3.2370338,9.12793,-32.73314,-27.671911,-59.407913,-7.9328246,0.7618027,2.5658493,-2.0080938,-39.529503,-8.632314,tree
3,abhay_005.png,8.860231,-39.00636,-12.202006,10.730192,17.404675,-36.547478,-9.462055,18.868006,-31.87313,-21.956772,-4.845463,-50.6077,18.867287,-4.82876,-51.9867,-4.6545115,29.913137,-3.290894,-23.093775,7.3723345,-81.883934,-3.927271,25.760174,49.061382,26.611048,12.600626,82.28415,-11.226579,12.559212,-87.15518,9.405231,14.039246,-83.85983,-8.581782,55.67331,45.77049,3.5172734,19.97296,0.40021038,3.8675165,-29.223856,-95.37906,12.031599,-22.190407,-100.03996,-23.675877,97.456375,53.99436,0.8909054,56.202614,16.580347,3.8675165,-29.223856,-95.37906,12.031599,-22.190407,-100.03996,-48.273605,1.5932751,6.590927,-34.052895,-27.964275,-68.72021,-7.4495497,1.6099777,5.2119293,-3.5145767,-41.123825,-35.49744,tree
4,abhay_006.png,9.14005,-38.941742,-8.60253,10.422134,17.582184,-36.985977,-9.184636,19.645355,-32.39081,-21.80376,-4.7814884,-49.56102,18.91968,-5.153965,-51.820564,-4.4697027,29.420591,-17.22134,-22.626165,7.436804,-88.064476,-3.4368668,27.331568,41.96041,27.25064,13.269766,86.20033,-11.381627,12.800695,-86.547,9.735044,14.49139,-84.21137,-7.9065695,56.75216,24.739069,4.624475,20.70657,-1.8641472,4.221666,-28.476469,-90.91548,12.411851,-22.114933,-97.04795,-23.509863,98.02933,29.10755,1.9476676,57.312893,10.972431,4.221666,-28.476469,-90.91548,12.411851,-22.114933,-97.04795,-47.93963,1.6349449,6.312134,-33.562836,-27.082855,-60.658073,-7.2161865,1.2624683,4.0525894,-2.875327,-41.144657,-16.418154,tree
5,abhay_007.png,8.646033,-39.0544,-9.841328,10.349768,17.237797,-36.035866,-8.656398,19.478489,-31.578625,-21.67393,-4.0033092,-49.569004,19.476368,-4.968338,-48.874756,-5.0339417,30.361835,-8.410627,-22.697409,7.4923153,-92.71595,-3.650192,24.377033,54.4925,26.69862,12.470776,87.41035,-11.324162,13.234488,-85.60487,10.81997,14.510151,-80.45338,-8.684134,54.73887,46.08187,4.00121,19.96309,-5.3056,3.6434174,-28.617922,-91.16022,13.144458,-21.746237,-94.58069,-23.651712,96.59128,51.63722,1.6767225,56.21948,8.821709,3.6434174,-28.617922,-91.16022,13.144458,-21.746237,-94.58069,-47.737072,2.2124825,5.77264,-33.75128,-28.493752,-74.41796,-6.586774,1.2474537,6.4668884,-3.4024704,-40.40001,-41.50011,tree
6,abhay_008.png,10.165369,-38.68676,-10.756181,10.2691555,17.688461,-36.8453,-9.387307,19.040804,-31.39204,-20.949451,-4.56242,-50.515133,19.55988,-4.0830727,-51.533386,-3.4682398,29.92591,-17.60211,-22.072327,8.346966,-89.73759,-3.75546,27.949986,41.46946,27.613256,12.875235,90.3333,-10.680297,13.126041,-87.36043,10.172573,14.957731,-82.92542,-7.2236996,57.875896,23.867352,5.540929,21.2222,0.59570503,5.8750305,-27.416973,-93.910545,13.947985,-21.87277,-97.88767,-23.779028,98.418915,30.417461,1.7655175,58.052704,15.557955,5.8750305,-27.416973,-93.910545,13.947985,-21.87277,-97.88767,-47.965534,0.2723446,5.5399666,-34.13324,-26.371456,-63.636635,-7.456201,0.7516918,4.5217133,-2.764526,-41.446205,-14.772799,tree
7,abhay_009.png,11.510332,-38.308125,-9.225916,9.254654,17.851713,-36.323357,-10.805372,18.502247,-31.878784,-21.170877,-4.7444916,-46.711067,20.55206,-2.5304089,-47.84493,-4.537143,29.908775,-27.71376,-20.906584,8.857191,-101.361015,-4.607997,26.76154,45.621067,26.179155,14.283506,97.59273,-11.916224,13.107222,-83.034424,9.746687,15.971838,-79.72372,-9.14514,56.670315,17.907307,5.2725706,23.140697,-3.7682848,5.9165626,-26.759146,-88.42649,14.934565,-20.778038,-92.78348,-26.977926,96.53668,23.299377,0.084692955,59.89057,9.291476,5.9165626,-26.759146,-88.42649,14.934565,-20.778038,-92.78348,-48.578087,-1.9744625,4.888172,-32.24259,-26.793074,-65.53596,-6.855148,0.23962021,3.7543106,-1.4554392,-39.271107,-13.5643,tree
8,abhay_010.png,9.014044,-38.97111,-13.285157,9.8839245,18.196312,-35.725105,-9.227875,18.348892,-32.65922,-21.189785,-4.788513,-49.78215,18.774925,-3.7855034,-53.500324,-4.7234497,29.336216,-16.592876,-21.333439,7.1623573,-92.844505,-3.3544347,25.789768,51.455788,25.902716,12.997458,91.4642,-11.3058605,13.407799,-85.507256,9.54705,14.563389,-86.159546,-8.077885,55.125984,34.86291,4.569276,20.159817,-1.380306,3.8261623,-28.294434,-94.91879,12.443113,-21.676594,-103.31832,-23.209908,96.82822,44.27445,1.673212,56.3998,15.778473,3.8261623,-28.294434,-94.91879,12.443113,-21.676594,-103.31832,-47.321697,0.07995224,4.862377,-32.583927,-27.708736,-66.70789,-7.356986,1.082962,1.1442032,-3.326777,-40.501045,-26.69948,tree
9,abhay_011.png,9.638686,-38.82133,-13.537878,10.590355,17.970037,-38.54633,-9.433891,19.163866,-34.465828,-20.830063,-4.2282543,-50.003956,19.454767,-4.03104,-53.60693,-3.9052496,29.215958,-27.08537,-20.583628,8.168951,-95.86561,-4.343851,26.998762,44.54772,25.710602,13.35614,98.757256,-10.239708,13.741783,-88.550285,10.020876,15.132826,-88.072754,-8.249101,56.21472,17.462353,5.1269746,21.525091,2.8916454,5.6894093,-27.701727,-98.44083,13.369131,-21.066324,-105.25797,-24.178217,97.65823,27.352894,1.7787199,57.724243,20.076862,5.6894093,-27.701727,-98.44083,13.369131,-21.066324,-105.25797,-48.449265,0.9741936,5.833786,-32.522533,-26.511002,-59.73228,-8.164433,1.1714077,2.230812,-2.468079,-40.153625,-5.52275,tree
